timestamp;x;y;theta
1551309360095;-0.7346;2.0382;-45.99999999999706
1551309360115;-0.7346;2.0382;-45.99999999999706
1551309360135;-0.7346;2.0382;-45.99999999999706
1551309360155;-0.7346;2.0382;-45.99999999999706
1551309360175;-0.7346;2.0382;-45.99999999999706
1551309360195;-0.7346;2.0382;-45.99999999999706
1551309360216;-0.7346;2.0382;-45.99999999999706
1551309360236;-0.7346;2.0382;-45.99999999999706
1551309360257;-0.7346;2.0382;-45.99999999999706
1551309360276;-0.7346;2.0382;-45.99999999999706
1551309360295;-0.7346;2.0382;-45.99999999999706
1551309360315;-0.7346;2.0382;-45.99999999999706
1551309360336;-0.7346;2.0382;-45.99999999999706
1551309360355;-0.7346;2.0382;-45.99999999999706
1551309360377;-0.7346;2.0382;-45.99999999999706
1551309360398;-0.7346;2.0382;-45.99999999999706
1551309360416;-0.7346;2.0382;-45.99999999999706
1551309360435;-0.7346;2.0382;-45.99999999999706
1551309360456;-0.7346;2.0382;-45.99999999999706
1551309360475;-0.7346;2.0382;-45.99999999999706
1551309360495;-0.7346;2.0382;-45.99999999999706
1551309360516;-0.7346;2.0382;-45.99999999999706
1551309360536;-0.7346;2.0382;-45.99999999999706
1551309360556;-0.7346;2.0382;-45.99999999999706
1551309360576;-0.7346;2.0382;-45.99999999999706
1551309360596;-0.7346;2.0382;-45.99999999999706
1551309360615;-0.7346;2.0382;-45.99999999999706
1551309360635;-0.7346;2.0382;-45.99999999999706
1551309360656;-0.7346;2.0382;-45.99999999999706
1551309360675;-0.7346;2.0382;-45.99999999999706
1551309360695;-0.7346;2.0382;-45.99999999999706
1551309360715;-0.7346;2.0382;-45.99999999999706
1551309360735;-0.7346;2.0382;-45.99999999999706
1551309360755;-0.7346;2.0382;-45.99999999999706
1551309360776;-0.7346;2.0382;-45.99999999999706
1551309360796;-0.7346;2.0382;-45.99999999999706
1551309360815;-0.7346;2.0382;-45.99999999999706
1551309360836;-0.7346;2.0382;-45.99999999999706
1551309360855;-0.7346;2.0382;-45.99999999999706
1551309360875;-0.7346;2.0382;-45.99999999999706
1551309360895;-0.7346;2.0382;-45.99999999999706
1551309360915;-0.7346;2.0382;-45.99999999999706
