timestamp;x;y;theta
1551214827976;-0.7346;2.0382;0
1551214827996;-0.7346;2.0382;0
1551214828017;-0.7346;2.0382;0
1551214828036;-0.7346;2.0382;0
1551214828055;-0.7346;2.0382;0
1551214828094;-0.7346;2.0382;0
1551214828096;-0.7346;2.0382;0
1551214828115;-0.7346;2.0382;0
1551214828135;-0.7346;2.0382;0
1551214828156;-0.7346;2.0382;0
1551214828175;-0.7346;2.0382;0
1551214828197;-0.7346;2.0382;0
1551214828216;-0.7346;2.0382;0
1551214828236;-0.7346;2.0382;0
1551214828256;-0.7346;2.0382;0
1551214828275;-0.7346;2.0382;0
1551214828297;-0.7346;2.0382;0
1551214828315;-0.7346;2.0382;0
1551214828336;-0.7346;2.0382;0
1551214828356;-0.7346;2.0382;0
1551214828376;-0.7346;2.0382;0
1551214828397;-0.7346;2.0382;0
1551214828416;-0.7346;2.0382;0
1551214828436;-0.7346;2.0382;0
1551214828457;-0.7346;2.0382;0
1551214828476;-0.7346;2.0382;0
1551214828495;-0.7346;2.0382;0
1551214828516;-0.7346;2.0382;0
1551214828536;-0.7346;2.0382;0
1551214828556;-0.7346;2.0382;0
1551214828578;-0.7346;2.0382;0
1551214828598;-0.7346;2.0382;0
1551214828616;-0.7346;2.0382;0
1551214828636;-0.7346;2.0382;0
1551214828657;-0.7346;2.0382;0
1551214828676;-0.7346;2.0382;0
1551214828697;-0.7346;2.0382;0
1551214828716;-0.7346;2.0382;0
1551214828736;-0.7346;2.0382;0
1551214828755;-0.7346;2.0382;0
1551214828775;-0.7346;2.0382;0
1551214828797;-0.7346;2.0382;0
1551214828816;-0.7346;2.0382;0
1551214828835;-0.7346;2.0382;0
1551214828855;-0.7346;2.0382;0
1551214828876;-0.7346;2.0382;0
1551214828896;-0.7346;2.0382;0
1551214828915;-0.7346;2.0382;0
1551214828936;-0.7346;2.0382;0
1551214828955;-0.7346;2.0382;0
1551214828976;-0.7346;2.0382;0
1551214828996;-0.7346;2.0382;0
1551214829019;-0.7346;2.0382;0
1551214829037;-0.7346;2.0382;0
1551214829056;-0.7346;2.0382;0
1551214829098;-0.7346;2.0382;0
1551214829115;-0.7346;2.0382;0
1551214829135;-0.7346;2.0382;0
1551214829156;-0.7346;2.0382;0
1551214829176;-0.7346;2.0382;0
1551214829196;-0.7346;2.0382;0
1551214829216;-0.7346;2.0382;0
1551214829235;-0.7346;2.0382;0
1551214829255;-0.7346;2.0382;0
1551214829275;-0.7346;2.0382;0
1551214829296;-0.7346;2.0382;0
1551214829315;-0.7346;2.0382;0
1551214829335;-0.7346;2.0382;0
1551214829355;-0.7346;2.0382;0
1551214829375;-0.7346;2.0382;0
1551214829399;-0.7346;2.0382;0
1551214829419;-0.7346;2.0382;0
1551214829437;-0.7346;2.0382;0
1551214829457;-0.7346;2.0382;0
1551214829476;-0.7346;2.0382;0
1551214829496;-0.7346;2.0382;0
1551214829516;-0.7346;2.0382;0
1551214829536;-0.7346;2.0382;0
1551214829556;-0.7346;2.0382;0
1551214829577;-0.7346;2.0382;0
1551214829598;-0.7346;2.0382;0
1551214829616;-0.7346;2.0382;0
1551214829636;-0.7346;2.0382;0
1551214829656;-0.7346;2.0382;0
1551214829676;-0.7346;2.0382;0
1551214829696;-0.7346;2.0382;0
1551214829716;-0.7346;2.0382;0
1551214829737;-0.7346;2.0382;0
1551214829757;-0.7346;2.0382;0
1551214829776;-0.7346;2.0382;0
1551214829797;-0.7346;2.0382;0
1551214829816;-0.7346;2.0382;0
1551214829837;-0.7346;2.0382;0
1551214829856;-0.7346;2.0382;0
1551214829877;-0.7346;2.0382;0
1551214829896;-0.7346;2.0382;0
1551214829916;-0.7346;2.0382;0
1551214829936;-0.7346;2.0382;0
1551214829956;-0.7346;2.0382;0
1551214829976;-0.7346;2.0382;0
1551214829996;-0.7346;2.0382;0
1551214830019;-0.7346;2.0382;0
1551214830036;-0.7346;2.0382;0
1551214830057;-0.7346;2.0382;0
1551214830091;-0.7346;2.0382;0
1551214830096;-0.7346;2.0382;0
1551214830115;-0.7346;2.0382;0
1551214830136;-0.7346;2.0382;0
1551214830155;-0.7346;2.0382;0
1551214830175;-0.7346;2.0382;0
1551214830196;-0.7346;2.0382;0
1551214830216;-0.7346;2.0382;0
1551214830236;-0.7346;2.0382;0
1551214830255;-0.7346;2.0382;0
1551214830278;-0.7346;2.0382;0
1551214830296;-0.7346;2.0382;0
1551214830316;-0.7346;2.0382;0
1551214830335;-0.7346;2.0382;0
1551214830355;-0.7346;2.0382;0
1551214830380;-0.7346;2.0382;0
1551214830398;-0.7346;2.0382;0
1551214830416;-0.7346;2.0382;0
1551214830436;-0.7346;2.0382;0
1551214830456;-0.7346;2.0382;0
1551214830475;-0.7346;2.0382;0
